stop_name,line_code,Line,stop_lat,stop_lon,MED_COMMUT,UNEMPLOYME,PCT_IMMIGR,PCT_POSTSE,OWNERS,RENTERS,CONDOS,MEN_HO_INC,MEN_IN_INC,MARRIED,NOT_MARRIED,DEP_5_7AM,DEP_7_9AM,DEP_9AM,MED_SHELT_OWN,MED_SHELT_RNT,AVG_CHILD,AVG_ROOMS,MED_AGE,POP_DENS,MAIN_OCCUP,MAIN_COUNTRY,MAIN_TRANSP,,stop_order,SHOW_IN_MAP
Papineau,v,verte,45.523643,-73.551972,22.44598471,8.919632361,21.50617307,62.03400632,14.01008754,46.724616,24.04200286,34587.12607,22878.54305,31.06519767,68.72441725,8.136612635,32.24332638,13.85439337,1176.002122,663.1614592,0.617076773,3.865857864,38.10465888,7489.843816,Sales and service,France,Public transit,,17,TRUE
Parc,b,bleue,45.530223,-73.623933,29.2473038,13.69511979,46.6994697,43.52169271,13.48912602,32.53009807,15.57683785,36629.20413,21416.97287,41.56340173,42.29150868,6.941057446,24.66204619,9.46899319,1016.551653,647.0935664,1.157312197,4.187122858,36.08986031,13516.7346,Sales and service,France,Public transit,,7,TRUE
Peel,v,verte,45.50089,-73.574972,15.57436047,10.60988406,36.26263139,70.45496005,16.83391959,43.32492259,40.54472065,32611.71001,20103.45583,35.41252817,67.60619922,2.646759332,28.15367908,9.657939669,1167.206356,1157.873928,0.669971572,3.657585343,33.35526294,7516.324365,"Education, law and social, community and government services",China,Walked,,11,TRUE
Pie-IX,v,verte,45.553901,-73.551847,27.98502307,9.161273031,21.69089809,56.25171464,15.24941375,41.21873132,24.11049384,37787.28088,25201.00487,36.76098386,55.02182669,9.479518264,30.89306823,12.415288,1104.542181,615.4843507,0.831348634,4.051174936,36.50134224,9524.247058,Sales and service,France,Public transit,,21,TRUE
Place-d&#x27;Armes,o,orange,45.506124,-73.559699,18.10783498,10.29114351,37.60665318,70.90718201,26.07788916,34.58127833,59.97010357,55025.28351,34030.78278,42.77746521,60.83149242,3.893090615,35.25049666,11.37632536,1354.286748,1064.202583,0.531804779,3.682585725,41.48131951,5232.76547,"Business, finance and administration",China,Walked,,16,TRUE
Place-des-Arts,v,verte,45.508211,-73.568122,17.28634229,12.47684424,39.67166113,66.34701789,17.2344547,44.94442656,41.48742661,35294.83344,22160.92789,35.31874504,68.80183459,3.530049983,30.11338643,11.39634862,1208.110321,976.3084412,0.603528896,3.383075474,37.02085361,9291.560957,"Education, law and social, community and government services",China,Walked,,13,TRUE
Place-Saint-Henri,o,orange,45.477201,-73.586626,24.65651391,9.222574345,19.93330513,56.44430285,15.56607155,38.51642185,20.80263562,41334.39519,24788.04786,36.91185722,54.26510432,7.89117682,30.09658678,10.57466769,1146.056667,717.1580624,0.867120034,4.414675632,37.00731548,7318.382939,Sales and service,Other places of birth in Africa,Public transit,,10,TRUE
Plamondon,o,orange,45.494353,-73.637889,29.13157448,13.46679585,57.84255249,46.32344636,7.78461345,30.49216714,7.725991127,35585.26541,17717.4298,40.12145543,41.40933502,7.716937674,20.51521073,11.45102503,1033.541252,667.119608,1.426725516,4.124817088,35.14915943,11973.80369,Sales and service,Philippines,Public transit,,5,TRUE
Pr&#xE9;fontaine,v,verte,45.541529,-73.554412,26.89592718,10.61498704,19.58810957,53.56435672,12.36597871,43.86894307,13.61062832,34608.45755,22721.45395,34.4484175,57.74086818,8.637157127,30.35318879,12.50465194,1009.473706,636.126405,0.837660604,4.117419882,36.18337174,9583.621651,Sales and service,France,Public transit,,19,TRUE
Radisson,v,verte,45.589306,-73.539571,30.44575098,7.127483244,25.29632996,52.38691184,21.52384083,27.55538885,19.03068188,47283.58021,28191.188,46.60384579,46.89361723,10.01406766,27.78631359,8.450135541,965.2707673,637.6135589,0.912343272,4.782500745,45.10397607,4497.698521,Sales and service,Other places of birth in Americas,Vehicle driver,,26,TRUE
